,Year,Lloyds,Gini,cog.lon,cog.lat,Inertia,Weight
1,1968,1.475719736,0.456989247,-74.11936129,37.2371,3.745381062,31
2,1969,1.709387755,0.514285714,-74.57571429,36.91619714,1.040209572,35
3,1970,0,0,-74.73094286,37.42618571,0.756367167,7
4,1971,1.216086435,0.394957983,-73.99381143,37.54951714,3.058581819,35
5,1972,1.19047619,0.403174603,-74.48148,37.44591333,1.37879794,45
6,1973,3.186589904,0.597472338,-74.26790502,38.99125715,3.984746497,1314
7,1974,2.862910825,0.575221239,-74.30890833,37.89722195,8.100523802,492
8,1975,2.681202743,0.590183752,-70.88844489,39.88845455,4.355487558,176
9,1976,4.287652233,0.583492063,-73.48650095,37.94501752,9.587226266,525
10,1977,2.461925767,0.545321963,-74.04130276,37.81702184,5.301495664,435
11,1978,3.458193825,0.641831445,-74.14889251,37.60805717,6.590634548,614
12,1979,1.58372615,0.427525253,-74.98021389,36.73263819,4.081486986,144
13,1980,2.681213477,0.497072072,-74.31561036,37.59279775,6.084670367,222
14,1981,2.375072844,0.524375869,-74.82647575,37.24824712,6.486950744,503
15,1982,2.225782994,0.519649481,-74.26742225,37.22252943,8.194630197,418
16,1983,3.636985304,0.555325981,-75.03506048,36.65070928,8.73461584,377
17,1984,2.56655479,0.547366479,-75.40158703,36.109557,5.052254197,293
18,1985,1.927802436,0.494649011,-73.81319161,37.8554802,7.684284623,298
19,1986,1.730083948,0.437554332,-73.56068177,38.62758571,5.158232691,203
20,1987,1.794671895,0.431238999,-72.73547318,39.14375698,8.639232996,179
21,1988,1.990877018,0.468947671,-73.41643041,38.18446081,6.855038457,148
22,1989,0.596621059,0.246829268,-73.1,38.37642439,7.410915899,41
23,1990,1.132762813,0.372053872,-74.32360972,37.36041667,4.538001576,72
24,1991,1.773504274,0.484034833,-74.66802453,37.33060943,4.094191367,159
25,1992,2.039298364,0.484593838,-74.34037143,37.89447857,3.218203126,154
26,1993,1.791261996,0.501861042,-74.20465914,37.39730806,5.412457619,186
27,1994,1.186115771,0.382582431,-73.32639562,38.30888467,7.037682802,137
28,1995,1.841437577,0.475694444,-74.06932121,37.8494947,6.501306378,132
29,1996,3.186616902,0.556207234,-74.3504316,37.21016407,3.803678032,231
30,1997,2.763548387,0.502329749,-74.26175,37.44861,6.849852933,180
31,1998,1.755968957,0.431146881,-74.02685429,37.67980971,6.865217278,175
32,1999,4.857113888,0.584236924,-74.28336,37.66680038,5.312002324,265
33,2000,1.895914655,0.470792466,-73.33564306,38.57123843,6.482542432,281
34,2001,1.881783388,0.499155405,-72.96779628,38.6829777,6.114369142,296
35,2002,2.073348362,0.524705882,-72.38796475,39.21100881,6.989980979,295
36,2003,2.049047788,0.532229599,-72.07444479,39.40778252,5.654045658,326
37,2004,3.467620776,0.592393162,-73.39182554,38.28043292,6.612899474,325
38,2005,2.250417059,0.527521761,-72.82718629,38.79282863,6.455929247,248
39,2006,2.392056801,0.523096511,-72.73931529,38.66451961,8.717331632,255
40,2007,3.729627359,0.567129006,-72.13724441,39.24752154,6.758055122,376
41,2008,1.544604305,0.433608887,-73.35888571,38.94862296,5.274475812,196
42,2009,2.922775859,0.583514532,-73.26519007,38.18852591,8.122237312,876
43,2010,2.889809738,0.59618264,-72.90262952,38.80650809,4.643158195,1162
44,2011,2.634806395,0.604288207,-72.77164478,38.89458162,5.324101241,1121
45,2012,2.639090657,0.561180739,-72.64421174,39.39371517,4.844151256,758
46,2013,2.505135874,0.536974578,-72.3997823,39.07087908,6.844762315,870
47,2014,4.112584779,0.555071507,-71.76213822,39.8476297,3.117300391,505
48,2015,3.731042137,0.593982057,-73.05029259,38.77671852,5.341967493,945
49,2016,1.628908522,0.461444348,-72.41810953,39.75870832,4.885648982,493
50,2017,2.465368486,0.537845992,-72.53549147,39.11892024,5.641496587,504
